Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
MMM,3M Company,reports,Industrials,Industrial Conglomerates,St. Paul, Minnesota,,0000066740,/wiki/3M
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment & Services,North Chicago, Illinois,,0000001800,/wiki/Abbott_Laboratories
ABBV,AbbVie,reports,Health Care,Pharmaceuticals,North Chicago, Illinois,2012-12-31,0001551152,/wiki/AbbVie
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,Dublin, Ireland,2011-07-06,0001467373,/wiki/Accenture_plc
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,Santa Monica, California,2015-08-31,0000718877,/wiki/Activision_Blizzard
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,San Jose, California,,0000796343,/wiki/Adobe_Systems_Inc
ADT,ADT Corp,reports,Industrials,Diversified Commercial Services,Boca Raton, Florida,2012-10-01,0001546640,/wiki/ADT_Corp
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,Roanoke, Virginia,2015-07-09,0001158449,/wiki/Advance_Auto_Parts
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,,0000874761,/wiki/AES_Corp
AET,Aetna Inc,reports,Health Care,Managed Health Care,Hartford, Connecticut,1976-06-30,0001122304,/wiki/Aetna_Inc
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,Columbus, Georgia,,0000004977,/wiki/AFLAC_Inc
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,Beverly, Massachusetts,2014-07-01,0001004434,/wiki/Affiliated_Managers_Group_Inc
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment & Services,Santa Clara, California,,0001090872,/wiki/Agilent_Technologies_Inc
GAS,AGL Resources Inc.,reports,Utilities,Gas Utilities,Atlanta, Georgia,2011-12-13,0001004155,/wiki/AGL_Resources_Inc.
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,Allentown, Pennsylvania,1985-04-30,0000002969,/wiki/Air_Products_%26_Chemicals_Inc
ARG,Airgas Inc,reports,Materials,Industrial Gases,Radnor, Pennsylvania,2009-09-09,0000804212,/wiki/Airgas_Inc
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,Cambridge, Massachusetts,2007-07-12,0001086222,/wiki/Akamai_Technologies_Inc
AA,Alcoa Inc,reports,Materials,Aluminum,New York, New York,,0000004281,/wiki/Alcoa_Inc
AGN,Allergan plc,reports,Health Care,Pharmaceuticals,Dublin, Ireland,,0000884629,/wiki/Allergan
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,Cheshire, Connecticut,2012-05-25,0000899866,/wiki/Alexion_Pharmaceuticals
ALLE,Allegion,reports,Industrials,Building Products,Dublin, Ireland,2013-12-02,0001579241,/wiki/Allegion
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,Plano, Texas,2013-12-23,0001101215,/wiki/Alliance_Data_Systems
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,Northfield Township, Illinois,,0000899051,/wiki/Allstate_Corp
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,Mountain View, California,2014-04-03,0001288776,/wiki/Alphabet_Inc_Class_A
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,Mountain View, California,,0001288776,/wiki/Alphabet_Inc_Class_C
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,Richmond, Virginia,,0000764180,/wiki/Altria_Group_Inc
AMZN,Amazon.com Inc,reports,Consumer Discretionary,Internet Retail,Seattle, Washington,2005-11-18,0001018724,/wiki/Amazon.com_Inc
AEE,Ameren Corp,reports,Utilities,MultiUtilities,St. Louis, Missouri,1991-09-19,0001002910,/wiki/Ameren_Corp
AAL,American Airlines Group,reports,Industrials,Airlines,Fort Worth, Texas,2015-03-23,0000006201,/wiki/American_Airlines_Group
AEP,American Electric Power,reports,Utilities,Electric Utilities,Columbus, Ohio,,0000004904,/wiki/American_Electric_Power
AXP,American Express Co,reports,Financials,Consumer Finance,New York, New York,1976-06-30,0000004962,/wiki/American_Express_Co
AIG,American International Group, Inc.,reports,Financials,Property & Casualty Insurance,New York, New York,1980-03-31,0000005272,/wiki/American_International_Group
AMT,American Tower Corp A,reports,Financials,Specialized REITs,Boston, Massachusetts,2007-11-19,0001053507,/wiki/American_Tower_Corp_A
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,Voorhees, New Jersey,2016-03-04,0001410636,/wiki/American_Water_(company)
AMP,Ameriprise Financial,reports,Financials,Diversified Financial Services,Minneapolis, Minnesota,,0000820027,/wiki/Ameriprise_Financial
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distribution & Services,Chesterbrook, Pennsylvania,,0001140859,/wiki/AmerisourceBergen_Corp
AME,Ametek,reports,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,2013-09-23,0001037868,/wiki/Ametek
AMGN,Amgen Inc,reports,Health Care,Biotechnology,Thousand Oaks, California,1992-01-02,0000318154,/wiki/Amgen_Inc
APH,Amphenol Corp A,reports,Industrials,Electrical Components & Equipment,Wallingford, Connecticut,2008-09-30,0000820313,/wiki/Amphenol_Corp_A
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,The Woodlands, Texas,,0000773910,/wiki/Anadarko_Petroleum
ADI,Analog Devices, Inc.,reports,Information Technology,Semiconductors,Norwood, Massachusetts,,0000006281,/wiki/Analog_Devices
AON,Aon plc,reports,Financials,Insurance Brokers,London, United Kingdom,,0000315293,/wiki/Aon_plc
